LATITUDE,LONGITUDE,ID,TOTAL_DELIVERIES,KG_DEMAND
4.8522500,-74.2648240,19376,99,186
4.6443282,-74.0669095,18994,198,750
4.6269866,-74.1696885,125,198,374
4.6330514,-74.1479432,5977,47,335
4.6461853,-74.1599164,662,60,1092
4.6875643,-74.0558235,8157,56,197
-2.8918409,-69.7419233,423,164,405
4.6939509,-74.1509302,22489,65,97
4.6159431,-74.0784146,7255,36,68
4.5966510,-74.1968099,401,68,554
4.5444403,-74.0879086,3148,167,217
4.6310104,-74.1081763,17571,11,322
4.5945491,-74.0883355,16567,16,445
4.6798243,-74.0786984,13663,6,3335
-2.8918409,-69.7419233,267,5,112
4.5874565,-74.1106707,6424,92,125
4.7528492,-74.0241186,17966,9,49
4.6139539,-74.1081872,14299,41,328
4.7199292,-74.1205935,16124,11,6
4.5922318,-74.0842288,6340,14,1
4.6044317,-74.0828917,22295,36,132
4.6094598,-74.1719849,20248,30,2178
4.6151712,-74.1035706,789,7,1898
4.5604706,-74.2394057,972,100,300
4.5985321,-74.1438884,4271,219,273
4.6030793,-74.1118818,13509,131,64
4.6792768,-74.1522574,2196,1,72
4.6228779,-74.1015858,7304,171,162
4.7451486,-74.1259087,3787,443,403
4.7322245,-74.2616431,20351,25,270
4.7074227,-74.2064627,24279,9,157
4.7639596,-74.0296056,7323,14,496
4.5160429,-74.1162072,823,242,224
4.5618643,-74.1427412,390,6,37
4.7121595,-74.2022554,3730,10,238
4.5747202,-74.1644338,642,44,844
4.7555626,-74.0900740,16484,1,3000
4.5799575,-74.1877736,18027,16,746
4.5926662,-74.0973086,7334,20,40
4.5632725,-74.1844025,15495,66,528
4.7225933,-74.0517211,11145,5,45
4.6069618,-74.0913747,16937,27,704
4.5753986,-74.1224716,934,14,540
4.5632292,-74.1302921,5928,4,143
4.6870620,-74.0600781,559,47,305
4.5761333,-74.2121066,15399,22,272
4.6453629,-74.0627683,15043,405,62
4.5751919,-74.1245425,11713,74,306
4.6500545,-74.1619987,1088,2,382
4.5781103,-74.1274022,7754,55,448
4.6363580,-74.1395964,23560,16,11
4.5295625,-74.2375625,342,144,276
4.5891980,-74.2236062,407,64,557
4.6707252,-74.0753964,15545,10,9
4.6460803,-74.1437519,26492,18,53
4.6189695,-74.1263475,175,112,1264
4.6955950,-74.1798877,26383,16,44
4.6418383,-74.1760425,250,3,479
4.7562527,-74.0842042,18010,57,556
4.6948240,-74.1160380,1208,57,412
4.7468581,-74.1148988,595,90,321
4.6220515,-74.2023162,158,290,492
4.6161465,-74.1220913,474,41,771
4.6567227,-74.1119476,21163,4,834
4.6145474,-74.2022309,20636,69,78
4.6185679,-74.1801915,4103,186,525
4.5924569,-74.1986513,386,11,1059
4.6810318,-74.0880287,23808,3,102
4.5894456,-74.1464159,24742,6,169
4.6023281,-74.0721467,6415,49,108
4.6768388,-74.0916309,12254,247,590
4.6207042,-74.1929403,11514,10,300
4.5827139,-74.1007197,681,22,359
4.6840515,-74.0481677,16426,8,185
4.6912402,-74.0856090,26730,4,18
4.5925714,-74.1991607,1635,4,262
4.7136797,-74.0986602,605,114,516
4.6886452,-74.0514041,19728,146,123
4.7134589,-74.0614987,16299,11,418
4.6242172,-74.1901184,244,66,474
4.6360147,-74.1767441,4887,67,196
4.5965322,-74.1968705,402,192,308
4.5851704,-74.0986762,5891,135,189
4.7012102,-74.1298990,12944,48,65
4.6218721,-74.1898618,260,171,812
4.5794492,-74.4446679,24464,27,29
4.6017906,-74.1334863,7269,4,14
4.6524411,-74.1389505,496,256,326
4.6816590,-74.1455597,18968,15,15
4.6953411,-74.1048576,12692,20,150
4.5902650,-74.2235929,11104,2,5
4.7407975,-74.0434535,20583,18,1118
4.5834845,-74.4417392,25959,4,1
4.6649750,-74.0702970,20520,2,70
4.6217212,-74.1589845,3586,23,517
4.7300414,-74.0978184,1833,31,2
4.3512726,-74.3602606,23407,19,371
4.5863475,-74.1867058,12822,164,38
4.5470114,-74.1009324,7502,96,371
4.7680372,-74.0453483,19094,35,723
4.5935083,-74.1124609,13412,13,125
4.6883470,-74.0829360,1720,125,174
4.6086159,-74.1675890,414,25,327
4.6275450,-74.1988296,5306,49,154
5.0121830,-74.4702758,20323,31,684
4.6315266,-74.1802357,15765,90,410
4.7379418,-74.0934584,25955,13,18
4.6049804,-74.1035488,4476,13,185
4.6381440,-74.0724387,10704,46,35
4.6411365,-74.1703438,303,192,481
4.5566580,-74.1218754,465,141,203
4.6486563,-74.1395577,1279,69,14
4.6888398,-74.0512548,19351,264,152
4.6165413,-74.2107820,18078,11,156
4.6889970,-74.0746389,15924,44,677
4.6223251,-74.0757605,9949,128,291
4.6137081,-74.1447799,16153,27,174
4.5749168,-74.2401968,383,143,394
4.7448955,-74.1095364,1919,547,658
4.6325970,-74.1849939,4559,88,339
4.7041550,-74.1091535,9839,47,92
4.5467436,-74.1481270,5826,34,18
4.6784003,-74.1506152,20545,19,20
4.6417836,-74.1743424,328,124,146
4.6085138,-74.2045020,11795,83,246
4.6054322,-74.0725469,7629,535,242
-2.8918409,-69.7419233,411,271,459
5.0307513,-74.0012317,2152,349,850
4.7165670,-74.1426426,21047,14,27
4.7450616,-74.1182942,2394,42,588
4.6192209,-74.1685754,4554,204,81
4.7499498,-74.0477299,16317,9,226
4.5621648,-74.0966559,14827,34,319
4.5603478,-74.1497072,675,248,629
4.5529483,-74.1519595,442,102,443
4.6829113,-74.0920729,467,162,660
4.6439441,-74.1666977,27093,14,242
4.5532375,-74.1372374,5249,20,891
4.6072572,-74.1242288,6810,11,183
4.4920503,-74.1180685,17088,4,82
4.6942651,-74.0653223,19716,11,64
4.6414861,-74.1387991,11877,30,925
4.6358673,-74.1978292,4674,19,77
4.7083321,-74.1296903,498,30,377
4.7000920,-74.1095270,3793,103,409
4.7463699,-74.1184017,22529,10,394
4.5995354,-74.1883880,25027,6,417
4.5538622,-74.1068168,5922,45,866
4.5340516,-74.0858339,400,279,641
4.5976450,-74.0964908,280,6,3822
4.5736960,-74.1513693,9805,24,103
4.6232373,-74.1146915,13008,151,376
4.7130340,-74.0541436,13746,17,69
4.5638515,-74.1248727,19508,9,75
4.6932494,-74.1613955,2462,5,631
4.6085605,-74.1999970,25687,19,64
4.6260157,-74.1691435,426,509,718
4.9630966,-73.9161455,20091,72,548
4.7160292,-74.2282093,16020,3,1560
4.6806171,-74.1078727,13926,95,150
4.5142000,-74.1141965,6117,77,176
4.5267520,-74.0884693,10637,73,288
4.5919417,-74.1574874,399,128,578
4.6250886,-74.0718521,2964,4,4501
4.7475240,-74.1115306,15884,48,819
4.5598870,-74.1329717,23867,4,1
4.6711293,-74.0843149,20873,45,27
4.5675345,-74.1702107,4870,12,269
4.9183760,-74.0290089,700,39,1866
4.7163676,-74.0657119,16792,8,135
4.6329492,-74.1854012,246,2,596
4.7399526,-74.0386143,20432,3,250
4.7382392,-74.1014048,9927,12,237
4.7197596,-74.1211850,173,89,507
4.6377509,-74.1821286,24741,14,118
4.7594595,-74.0151933,3315,63,518
4.7062367,-74.1189956,3135,101,187
4.5465088,-74.1386242,14056,83,95
4.5477879,-74.1090075,11864,3,3
4.6018496,-74.1375674,3005,19,1738
4.7293917,-74.0925315,5447,119,419
4.6991188,-74.0288407,24743,65,25
4.5798430,-74.1257376,11611,45,77
4.5339949,-74.0859225,616,45,297
4.6859238,-74.0369914,678,4,126
4.7137972,-74.1425302,1372,481,967
4.6025583,-74.1834668,12510,224,64
4.6039631,-74.0722727,26494,24,99
4.6683439,-74.0755460,8807,7,113
4.5295153,-74.0924107,13581,90,355
4.7375764,-74.0293067,6124,30,245
