LATITUDE;LONGITUDE;CLIENT_LIST;CLIENT_WEIGHT;OWN
4.707;-74.131;"1369;498";2;0
4.705;-74.229;21002;1;0
4.503;-74.119;2514;1;0
4.607;-74.209;18691;1;0
4.667;-74.141;236;1;0
4.752;-74.098;"13671;4077";2;0
4.553;-74.152;442;1;0
4.69;-74.099;9283;1;0
4.567;-74.144;"17420;10096";2;0
4.54;-74.09;5883;1;0
4.584;-74.218;"8898;8897";2;0
4.519;-74.118;"5408;11822";2;0
4.965;-73.912;2450;1;0
4.586;-74.178;2342;1;0
4.59;-74.198;"6734;9249;7596;10067";4;0
4.676;-74.088;13640;1;0
4.683;-74.049;15351;1;0
4.69;-74.148;14314;1;0
4.7;-74.056;16251;1;0
4.74;-74.025;11423;1;0
4.736;-74.092;5937;1;0
4.703;-74.133;185;1;0
4.624;-74.153;9779;1;0
4.69;-74.104;9413;1;0
4.715;-74.052;6172;1;0
4.618;-74.15;9963;1;0
4.738;-74.074;1768;1;0
4.585;-74.211;167;1;0
4.553;-74.114;3748;1;0
4.931;-74.173;"19208;19286";2;0
4.643;-74.175;"443;16509";2;0
4.572;-74.157;10181;1;0
4.647;-74.055;7376;1;0
4.564;-74.154;6217;1;0
4.592;-74.073;19804;1;0
4.729;-74.102;7896;1;0
4.627;-74.117;"6871;292";2;0
4.74;-74.087;4294;1;0
4.556;-74.117;4667;1;0
4.696;-74.042;15165;1;0
4.604;-74.199;13100;1;0
4.609;-74.097;"8133;8134";2;0
4.717;-74.042;5401;1;0
4.57;-74.118;5018;1;0
4.642;-74.174;328;1;0
4.722;-74.055;"6573;21027";2;0
4.736;-74.341;18249;1;0
4.611;-74.185;9741;1;0
4.632;-74.203;15878;1;0
4.646;-74.178;"5869;2323";2;0
4.625;-74.165;9633;1;0
4.631;-74.109;18812;1;0
4.585;-74.156;4941;1;0
4.716;-74.123;7473;1;0
4.568;-74.244;9205;1;0
4.628;-74.18;22286;1;0
4.694;-74.161;22079;1;0
4.544;-74.108;9265;1;0
4.638;-74.188;17309;1;0
4.689;-74.052;"18663;20463";2;0
4.741;-74.086;13759;1;0
4.756;-74.081;4935;1;0
4.698;-74.12;2321;1;0
4.702;-74.097;"6486;760";2;0
4.636;-74.159;528;1;0
4.592;-74.114;2219;1;0
4.7;-74.103;7695;1;0
4.717;-74.104;6011;1;0
4.651;-74.175;291;1;0
4.63;-74.17;3680;1;0
4.581;-74.178;5113;1;0
4.577;-74.153;130;1;0
4.74;-74.106;4489;1;0
4.626;-74.179;8647;1;0
4.669;-74.041;4626;1;0
4.637;-74.168;13891;1;0
4.707;-74.043;15296;1;0
4.574;-74.186;16621;1;0
4.714;-74.122;22273;1;0
4.741;-74.126;19356;1;0
4.578;-74.2;76;1;0
4.571;-74.163;10343;1;0
4.56;-74.126;11954;1;0
4.65;-74.067;1227;1;0
4.706;-74.133;768;1;0
4.597;-74.121;8604;1;0
4.628;-74.191;3795;1;0
4.548;-74.166;"15599;15565";2;0
4.703;-74.08;1236;1;0
4.682;-74.1;21320;1;0
4.608;-74.074;12875;1;0
4.73;-74.087;12507;1;0
4.618;-74.112;19438;1;0
4.573;-74.215;6103;1;0
4.746;-74.123;15681;1;0
4.549;-74.164;13289;1;0
4.6;-74.109;14862;1;0
4.585;-74.171;"222;4202";2;0
4.542;-74.087;6185;1;0
4.565;-74.151;2950;1;0
4.626;-74.13;6716;1;0
4.704;-74.111;21794;1;0
4.661;-74.064;19916;1;0
4.624;-74.074;12422;1;0
4.588;-74.169;10567;1;0
4.643;-74.065;1734;1;0
4.623;-74.128;11115;1;0
4.683;-74.111;14026;1;0
4.604;-74.144;3366;1;0
4.584;-74.169;1061;1;0
4.579;-74.216;6232;1;0
4.659;-74.072;12259;1;0
4.634;-74.074;7371;1;0
4.558;-74.212;4136;1;0
4.613;-74.079;15607;1;0
4.615;-74.091;848;1;0
4.643;-74.143;"10289;10290";2;0
4.558;-74.111;3542;1;0
4.534;-74.153;15096;1;0
4.556;-74.089;13383;1;0
4.713;-74.099;858;1;0
4.61;-74.167;12124;1;0
4.596;-74.089;14508;1;0
4.579;-74.167;14863;1;0
4.698;-74.03;"14170;14558;6508";3;0
4.608;-74.095;5509;1;0
4.572;-74.088;13814;1;0
4.622;-74.183;13740;1;0
4.56;-74.101;5584;1;0
4.577;-74.095;9061;1;0
4.706;-74.114;"6351;3737";2;0
4.741;-74.106;"13018;3902";2;0
4.759;-74.028;"7375;11040";2;0
4.631;-74.108;"6740;11325;17571;9628";4;0
4.581;-74.206;5794;1;0
4.753;-74.024;17966;1;0
4.68;-74.079;"2045;13663";2;0
4.573;-74.09;1827;1;0
4.734;-74.265;14865;1;0
4.728;-74.095;"14792;6661;15317";3;0
4.633;-74.165;16506;1;0
4.669;-74.065;"9699;9441;8942;9442;8941;9450;16680;11153";8;0
4.639;-74.193;"6961;3091";2;0
4.73;-74.031;6992;1;0
4.64;-74.16;"4170;503;2353";3;0
4.729;-74.028;2910;1;0
4.732;-74.099;"4794;9659;20525;10362";4;0
4.586;-74.073;5253;1;0
4.606;-74.089;"5434;8686";2;0
4.631;-74.086;7358;1;0
4.622;-74.187;"13644;3321";2;0
4.621;-74.189;"16313;1714";2;0
4.582;-74.11;"6018;6034";2;0
4.92;-74.034;1517;1;0
4.634;-74.149;"11983;11921";2;0
4.735;-74.27;"14878;21153";2;0
4.603;-74.083;"11270;19120;7576;1406;543";5;0
4.854;-74.062;19296;1;0
4.628;-74.179;322;1;0
4.723;-74.086;"5494;3235;3032";3;0
4.662;-74.061;15341;1;0
4.57;-74.233;2058;1;0
4.576;-74.243;"1847;409;176";3;0
4.666;-74.121;2320;1;0
4.571;-74.222;8513;1;0
4.631;-74.167;"120;3136";2;0
4.579;-74.207;"18104;69";2;0
4.599;-74.184;4768;1;0
4.563;-74.218;12748;1;0
4.494;-74.261;11659;1;0
4.574;-74.177;5465;1;0
4.54;-74.138;"6408;13355;1284;10048";4;0
4.667;-74.065;"5403;4858;13627";3;0
4.638;-74.069;6719;1;0
4.68;-74.048;7675;1;0
4.732;-74.045;"14779;14785;3010";3;0
4.615;-74.123;5661;1;0
4.738;-74.027;6604;1;0
4.713;-74.144;4131;1;0
4.548;-74.14;5477;1;0
4.568;-74.087;"5547;17039";2;0
4.764;-74.038;7258;1;0
4.655;-74.065;6329;1;0
4.613;-74.152;20426;1;0
4.611;-74.184;18878;1;0
4.692;-74.051;20442;1;0
4.714;-74.098;"4248;6230";2;0
4.678;-74.138;21404;1;0
4.742;-74.099;"21462;5330;20885";3;0
4.657;-74.109;"21855;14497";2;0
4.918;-74.03;21333;1;0
4.591;-74.181;7067;1;0
4.58;-74.1;18253;1;0
4.623;-74.188;"1875;13297;22266";3;0
5.025;-74;"20223;19968;18997";3;0
4.602;-74.134;"7397;11172;344;17853";4;0
4.595;-74.174;9503;1;0
4.551;-74.092;826;1;0
5.018;-73.999;20850;1;0
4.578;-74.077;22029;1;0
4.578;-74.127;"14197;7754";2;0
4.709;-74.035;"16300;21600";2;0
4.652;-74.063;"14195;7976;14001;19349";4;0
4.592;-74.205;"8823;8824";2;0
4.568;-74.235;64;1;0
4.761;-74.024;1447;1;0
4.666;-74.078;"1445;11390";2;0
4.646;-74.095;2745;1;0
4.622;-74.119;5710;1;0
4.606;-74.126;482;1;0
4.688;-74.112;1228;1;0
4.74;-74.093;"10281;5666;14971";3;0
4.702;-74.052;"12421;7469;20631";3;0
4.564;-74.133;12236;1;0
4.695;-74.122;"15581;9239";2;0
4.597;-74.176;15083;1;0
4.722;-74.068;"14493;575";2;0
4.591;-74.071;18351;1;0
4.737;-74.047;14085;1;0
4.745;-74.1;"10045;8056;10376";3;0
4.692;-74.197;2548;1;0
4.688;-74.144;13552;1;0
4.607;-74.166;10405;1;0
4.853;-74.265;"659;18975";2;0
4.738;-74.031;6111;1;0
4.742;-74.089;872;1;0
4.58;-74.211;144;1;0
4.622;-74.204;"38;197;1837";3;0
4.622;-74.197;20188;1;0
4.62;-74.111;7472;1;0
4.759;-74.037;7391;1;0
4.732;-74.262;20351;1;0
4.622;-74.132;"20500;12581";2;0
4.728;-74.09;20576;1;0
4.555;-74.114;"2965;3656";2;0
4.627;-74.185;20286;1;0
4.686;-74.142;"18564;5576";2;0
4.626;-74.166;"10353;13662";2;0
4.752;-74.117;"17844;3048;3008";3;0
4.566;-74.237;493;1;0
4.629;-74.187;4647;1;0
4.635;-74.198;13111;1;0
4.676;-74.084;"6928;22272";2;0
4.709;-74.099;21653;1;0
4.751;-74.115;17828;1;0
4.738;-74.044;14006;1;0
4.818;-74.361;"20601;20602";2;0
4.743;-74.123;"18454;2959";2;0
4.622;-74.155;"487;14742";2;0
4.676;-74.11;20045;1;0
4.75;-74.056;"9465;17053;9466";3;0
4.695;-74.044;"17104;17471";2;0
4.58;-74.203;"7764;5809";2;0
4.744;-74.064;"9525;3868";2;0
4.549;-74.108;13361;1;0
5.024;-73.986;"20862;18820";2;0
4.598;-74.096;280;1;0
4.634;-74.164;3129;1;0
4.581;-74.214;6591;1;0
