,lat,long,weight,y_pred
339,4.6454496,-74.163629,1.0,1
340,4.5807025,-74.1356277,1.0,1
341,4.7289854,-74.1048512,1.0,1
342,4.7142008,-74.0553218,1.0,1
343,4.602229,-74.1950171,1.0,1
344,4.5689447,-74.1511791,1.0,1
345,4.7088278,-74.0452491,1.0,1
347,4.7463037,-74.0428137,1.0,1
349,4.6711293,-74.0843149,1.0,1
350,4.5737416,-74.1538426,1.0,1
351,4.5708921,-74.1238841,1.0,1
352,4.6058472,-74.0948458,1.0,1
353,4.547397,-74.1513848,1.0,1
354,4.6562247,-74.1109023,1.0,1
355,4.6956326,-74.1253404,1.0,1
356,4.6264562,-74.1693748,1.0,1
357,4.708042,-74.1261141,1.0,1
358,4.7577408,-74.0970199,1.0,1
361,4.7430809,-74.1084854,1.0,1
362,4.7513389,-74.1143289,1.0,1
363,4.6755996,-74.1095495,1.0,1
364,4.6764368,-74.056032,1.0,1
365,4.7544874,-74.0845278,1.0,1
366,4.6362925,-74.1572761,1.0,1
367,4.7200337,-74.1201972,1.0,1
368,4.6295835,-74.1910451,1.0,1
369,4.6201739,-74.1482411,1.0,1
370,4.6185646,-74.1879615,1.0,1
371,4.6463922,-74.0921112,1.0,1
372,4.6379303,-74.1453643,1.0,1
373,4.7368761,-74.0920427,1.0,1
374,4.6443282,-74.0669095,1.0,1
375,4.5768732,-74.1692465,1.0,1
376,4.6937778,-74.1078345,1.0,1
377,4.6760589,-74.104743,1.0,1
378,4.6411202,-74.0593348,1.0,1
379,4.7398874,-74.0386491,1.0,1
380,4.639302,-74.0719683,1.0,1
381,4.5676022,-74.1686036,1.0,1
384,4.7065918,-74.1312583,1.0,1
385,4.5884016,-74.1085943,1.0,1
386,4.5968223,-74.1272681,1.0,1
387,4.6167321,-74.1441454,1.0,1
388,4.5889813,-74.073791,1.0,1
389,4.7109141,-74.2047601,1.0,1
390,4.7478381,-74.1115222,1.0,1
391,4.6593295,-74.0628045,1.0,1
393,4.5841179,-74.1114649,1.0,1
394,4.521779,-74.1204716,1.0,1
395,4.6212238,-74.171899,1.0,1
396,4.6204687,-74.1970967,1.0,1
397,4.6656954,-74.1432299,1.0,1
399,4.6472266,-74.1073409,1.0,1
400,4.7407112,-74.1280422,1.0,1
401,4.7371241,-74.0744814,1.0,1
402,4.7164738,-74.141698,1.0,1
403,4.6227017,-74.0689371,1.0,1
404,4.688565,-74.0969997,1.0,1
405,4.5404435,-74.1173681,1.0,1
406,4.578302,-74.085991,1.0,1
407,4.7525616,-74.1234852,1.0,1
408,4.6176819,-74.1122391,1.0,1
409,4.6858324,-74.0614936,1.0,1
410,4.5667692,-74.1019411,1.0,1
411,4.558362,-74.1108001,1.0,1
413,4.5791075,-74.1410541,1.0,1
414,4.6575795,-74.1122391,1.0,1
415,4.6486946,-74.1211972,1.0,1
416,4.5211413,-74.0894235,1.0,1
417,4.5615044,-74.1274603,1.0,1
418,4.627545,-74.1988296,1.0,1
419,4.6193897,-74.1520923,1.0,1
420,4.5902927,-74.1982231,1.0,1
421,4.7156107,-74.1286794,1.0,1
422,4.5631218,-74.1497955,1.0,1
423,4.6500258,-74.1333165,1.0,1
424,4.5608236,-74.1269158,1.0,1
425,4.6921941,-74.1187377,1.0,1
426,4.6542251,-74.0641169,1.0,1
427,4.5823065,-74.2120373,1.0,1
428,4.5685641,-74.1811787,1.0,1
429,4.6616356,-74.0752941,1.0,1
430,4.6192439,-74.0815751,1.0,1
431,4.5931695,-74.1974672,1.0,1
432,4.642269,-74.1730644,1.0,1
433,4.6521216,-74.0629431,1.0,1
434,4.5712315,-74.1244489,1.0,1
435,4.6216335,-74.187619,1.0,1
437,4.587168,-74.137611,1.0,1
439,4.5372546,-74.1481055,1.0,1
440,4.6434777,-74.1882388,1.0,1
441,4.7094383,-74.1136428,1.0,1
442,4.5989479,-74.1880978,1.0,1
443,4.6419834,-74.0680376,1.0,1
444,4.6543147,-74.063871,1.0,1
445,4.6032065,-74.0809698,1.0,1
446,4.7288018,-74.1038714,1.0,1
447,4.6064156,-74.0893926,1.0,1
448,4.5375199,-74.1162802,1.0,1
449,4.7253648,-74.1230532,1.0,1
450,4.6121392,-74.1695253,1.0,1
452,4.5771658,-74.2103405,1.0,1
453,4.5861287,-74.1029966,1.0,1
454,4.6697233,-74.0757195,1.0,1
455,4.6506748,-74.0696849,1.0,1
456,4.5626562,-74.1199748,1.0,1
459,4.6239367,-74.1666167,1.0,1
460,4.6302596,-74.1658415,1.0,1
461,4.6326792,-74.1712855,1.0,1
462,4.5813262,-74.0879657,1.0,1
463,4.5707876,-74.0971315,1.0,1
464,4.5994679,-74.1902029,1.0,1
465,4.6554875,-74.1061783,1.0,1
466,4.5711256,-74.2173996,1.0,1
467,4.5574937,-74.11738,1.0,1
468,4.6769843,-74.1494,1.0,1
469,4.708397,-74.0723176,1.0,1
470,4.621954,-74.1777914,1.0,1
472,4.7199292,-74.1205935,1.0,1
473,4.6138303,-74.1777946,1.0,1
474,4.7135081,-74.1086778,1.0,1
475,4.6093433,-74.1908244,1.0,1
476,4.614855,-74.1968053,1.0,1
478,4.6632357,-74.0688138,1.0,1
479,4.6233209,-74.1323629,1.0,1
480,4.6470094,-74.1677261,1.0,1
481,4.6463372,-74.1746228,1.0,1
482,4.6237447,-74.1323308,1.0,1
484,4.603477,-74.1399044,1.0,1
485,4.6555261,-74.0640414,1.0,1
486,4.5753986,-74.1224716,1.0,1
487,4.5731241,-74.1773726,1.0,1
488,4.7361142,-74.0992172,1.0,1
489,4.6157172,-74.1084678,1.0,1
490,4.7443205,-74.0968178,1.0,1
491,4.5027291,-74.1207277,1.0,1
492,4.5586218,-74.2116225,1.0,1
493,4.6790124,-74.0963906,1.0,1
494,4.629639,-74.13608,1.0,1
495,4.6465895,-74.1471921,1.0,1
496,4.5719446,-74.2151167,1.0,1
497,4.5838017,-74.1246712,1.0,1
498,4.6695562,-74.1188983,1.0,1
499,4.6261435,-74.1832283,1.0,1
500,4.5950401,-74.1115139,1.0,1
501,4.6701525,-74.1067073,1.0,1
502,4.5884983,-74.1086017,1.0,1
503,4.5664868,-74.1017777,1.0,1
504,4.7257239,-74.0961071,1.0,1
505,4.5138145,-74.1160786,1.0,1
508,4.6521247,-74.0601907,1.0,1
510,4.6979235,-74.0751506,1.0,1
511,4.6984603,-74.098521,1.0,1
513,4.5896039,-74.174427,1.0,1
514,4.7299294,-74.030657,1.0,1
515,4.6031034,-74.1854048,1.0,1
517,4.4979185,-74.1138504,1.0,1
518,4.5935958,-74.1416969,1.0,1
519,4.7530451,-74.1223902,1.0,1
522,4.5095319,-74.1052732,1.0,1
523,4.5658333,-74.1910637,1.0,1
524,4.5409469,-74.1179129,1.0,1
525,4.6758633,-74.0736198,1.0,1
526,4.676623,-74.1113604,1.0,1
527,4.5724659,-74.1674396,1.0,1
528,4.6656851,-74.0652396,1.0,1
529,4.5622546,-74.1418234,1.0,1
530,4.6696424,-74.1462051,1.0,1
531,4.5846367,-74.2114674,1.0,1
533,4.6904075,-74.0454392,1.0,1
534,4.7258099,-74.0965985,1.0,1
536,4.5636518,-74.1424192,1.0,1
537,4.6987605,-74.0366909,1.0,1
538,4.6553125,-74.0641198,1.0,1
540,4.5646038,-74.1357917,1.0,1
543,4.6672197,-74.0537179,1.0,1
544,4.6096422,-74.1430299,1.0,1
545,4.6130514,-74.1708295,1.0,1
546,4.715493,-74.105217,1.0,1
547,4.7425292,-74.1266764,1.0,1
548,4.7576015,-74.0458519,1.0,1
549,4.631023,-74.1843583,1.0,1
550,4.5462841,-74.1454088,1.0,1
552,4.7555234,-74.0858853,1.0,1
553,4.7285926,-74.0926322,1.0,1
554,4.6021145,-74.1875444,1.0,1
555,4.6349929,-74.1130245,1.0,1
556,4.6318156,-74.082633,1.0,1
557,4.7415365,-74.0906619,1.0,1
558,4.740896,-74.0853236,1.0,1
560,4.6208825,-74.1901951,1.0,1
561,4.516462,-74.1141731,1.0,1
562,4.7192189,-74.0719588,1.0,1
563,4.6041656,-74.1239352,1.0,1
565,4.6082478,-74.2066682,1.0,1
566,4.6017906,-74.1334863,1.0,1
567,4.6683439,-74.075546,1.0,1
569,4.6392397,-74.1827004,1.0,1
570,4.6256685,-74.1376072,1.0,1
571,4.722579,-74.052446,1.0,1
572,4.7197787,-74.1307852,1.0,1
573,4.5323296,-74.1475047,1.0,1
574,4.6016439,-74.1336418,1.0,1
577,4.7379088,-74.0302297,1.0,1
578,4.713034,-74.0541436,1.0,1
579,4.7444308,-74.0569581,1.0,1
580,4.68764,-74.0557121,1.0,1
581,4.6850155,-74.1088843,1.0,1
582,4.7427313,-74.1013707,1.0,1
583,4.7404956,-74.08508,1.0,1
584,4.559138,-74.1206797,1.0,1
586,4.569545,-74.129189,1.0,1
587,4.6027541,-74.1285628,1.0,1
590,4.5616433,-74.0880667,1.0,1
591,4.6268862,-74.16898,1.0,1
592,4.620127,-74.167267,1.0,1
593,4.5613563,-74.0854441,1.0,1
594,4.616009,-74.0891073,1.0,1
595,4.5201366,-74.1172587,1.0,1
596,4.72418,-74.0501894,1.0,1
597,4.552977,-74.1588586,1.0,1
598,4.5719171,-74.0944576,1.0,1
599,4.5713126,-74.0938126,1.0,1
600,4.5716591,-74.1195478,1.0,1
601,4.6932494,-74.1613955,1.0,1
602,4.602186,-74.1875358,1.0,1
603,4.575931,-74.16349,1.0,1
604,4.6221704,-74.1829062,1.0,1
605,4.7433532,-74.0622016,1.0,1
606,4.704696,-74.136714,1.0,1
607,4.7152876,-74.1394826,1.0,1
608,4.6463487,-74.1756048,1.0,1
610,4.7261411,-74.0893722,1.0,1
611,4.6139539,-74.1081872,1.0,1
612,4.5412114,-74.1550779,1.0,1
613,4.5994182,-74.1904855,1.0,1
