LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.74,-74.08,8159;17968;7889;19200;8163;13577;2491;6344;13736;14076;4337,11,0
4.69,-74.07,16499;17100;13779;13742;16491;15924;523;20877;19549;13713;15486;19716;7004;15499;1756,15,0
4.81,-74.1,3202;2349;20235;761;16257;17836;16383;2341;16582;16580;20222;1902;3650;2344;12231;20550,16,0
4.69,-74.14,21426;5576;18564;13552;16356;5574;5141,7,0
4.75,-74.13,3787,1,0
4.6,-74.11,920;7922;14862;97;948;11950;5287;7499;6152;7483;10151;31;7712;14744;14736,15,0
4.71,-74.09,17951;3997;9922;15188;14078;13290,6,0
4.63,-74.21,15358,1,0
3.68,-76.3,6294,1,0
4.59,-74.23,3157;461,2,0
3.47,-76.53,6337,1,0
3.38,-76.53,7224,1,0
4.54,-74.1,14622,1,0
4.76,-74.03,17070;7375;6252;2952;4539;5273;4526;4324;20487;4406;6768;6651;4062;2458;21051;14359;664;16980;16229;4583;7323;5995;7387;6440;16130;5967;1887;10508;20966;19411;11040,31,0
4.74,-74.1,15979;7459;13315;15390;6932;2904;8056;4462;15450;16459;13280;2801;11755;20885;666;11981;17026;10389;10376;16754;5702;4299;3632;3517;759;20645;13003;5814;13816;9429;5963;4346;16162;21462;5769;16438;16436;6939;5788;6949;17045;11178;10390;10400;512;5330;21503;9927;5301;10045;10375;14514;17133,53,0
4.61,-74.1,5509;17101;7497;8133;6622;5544;20516;14437;4270;14424;16954;15244;5590;14422;19859;17363;8134;8573;6478;1625;6717;12136;15212;10733;928;5867,26,0
4.62,-74.19,16442;7177;6041;204;336;5836;15983;16830;13644;13669;16450;4749;1714;3321;2953;18368;17131;843;11617;205;424;82;1462;4999;21280;15265;14102;13447;4674;13258;13099;13297;260;4985;15498;19075;16313;6621;259;1875;16318;2946;8974;6443;4611;10980;4024;8284;21720;12465;10621;27;535;11926;418;11286;20460;22266;11514;13257;10622,61,0
4.81,-74.35,18433;15700;8397;20573;20417;20755;20441;15684;20230;12760;20612;21024;13956;18450;21041;19992;15686;20866;20785;20557;20555;20736;16962,23,0
4.64,-74.14,15527;6123;5997;6667;17660;14237;2772;8992;10183;10984;10289;11877;10290;10978;6671;11350;5203;20909;6090;21582,20,0
4.58,-74.24,6659;309;96;1847;6632;8105;2823;10001;2112;44;104;11835;460;113;177;409;180;176;11307;13166,20,0
4.56,-74.16,18513;15327;18123,3,0
4.7,-74.17,11490;8561;8064;2119;13623;8065;12932;2114,8,0
4.57,-74.25,20156,1,0
4.6,-74.1,4476;14507;14172;280;14340;2232;13238;2639;13997;20280;14531;14534;14185;6598;17211;7975;8831;14357,18,0
4.59,-74.08,6340;14597;12979;9328;9327;6780;21893;6391;6608;6588,10,0
